SMILES,E1-CAM
CN1C=CCc2cc(/C=C/C=C/C3=NC(=O)CS3)ccc21,0.07618
O=C1CSC(c2nc3cc(O)c4c(c3s2)CCCN4)=N1,0.08970
CC=C/C=C/C1=NC(=O)CS1,0.11954
O=C1CSC(C2=NC(=O)CNS2)=N1,0.03788
O=C1C=C(/C=C/C=C/C2=NC(=O)CS2)C=N1,0.07415
O=C1CSC(/C=C/C=Cc2nc3cc4c(cc3s2)NCC4)=N1,0.06728
Cc1cc2cc(N)ccc2c2sc(C3=NC(=O)CS3)nc12,0.08919
CC(=CC=C1CC(C)=CC(C)(C)N1C)/C=C/C=C/C1=NC(=O)CS1,0.07083
CCN(C)c1cc2sc(C3=NC(=O)CS3)nc2cc1O,0.09214
Nc1ccc2c(c1)Cc1nc(C3=NC(=O)CS3)sc1-2,0.08383
O=C1CSC(c2nc3ccc4c(c3s2)C=CC4O)=N1,0.10497
CC=c1nc(C=CC2=NC(=O)CS2)sc1=CCO,0.08263
O=C1CSC(c2nc3ccc4c(c3s2)=CCNC=4)=N1,0.05243
CNc1ccc2c(ccc3nc(C4=NC(=O)CS4)sc32)c1,0.08852
NC1=c2ccc3nc(C4=NC(=O)CS4)sc3c2=CC1,0.05635
O=C1CSC(c2ccc3nc(C4ONC(=O)CS4)sc3c2)=N1,0.09634
CCC1=CCCc2cc3nc(C4=NC(=O)CS4)sc3cc21,0.09983
O=C1CSC(C=C2NC(=O)CS2)=N1,0.02671
C=C1CCc2cc3nc(C4=NC(=O)CS4)sc3cc2N1,0.09063
O=C1CSC(c2nc3ccc(OO)cc3s2)=N1,0.10991
O=C1CSC(/C=C/C=Cc2nc3ccc(O)cc3s2)=N1,0.08116
CN(C)C=C/C=C/C1=NC(=O)CSO1,0.10529
O=C1CSC(C=CC2=NC(=O)C(=O)S2)=N1,0.04935
CN1CCOC2=CC(=C/C=C/C3=NC(=O)CS3)CC=C21,0.07567
O=C1CSC(c2nc3cc4c(cc3s2)SCC4)=N1,0.09948
O=C1CSC(C2=NCc3ccc4c(c3S2)CCCN4)=N1,0.08103
CCc1cc(/C=C/C=C/C2=NC(=O)CS2)cc2c1N(C)CCC2,0.07847
NCN1CCOc2cc3nc(C4=NC(=O)CS4)sc3cc21,0.09128
CN1CCC(C)(C)c2cc(/C=C/C(N)=C/C3=NC(=O)CS3)ccc21,0.08768
CCNc1ccc2nc(C3=NC(=O)CS3)sc2c1,0.09413
O=C1CSC(C(S)Nc2ccc(O)cc2)=N1,0.02368
O=C1CSC(C=C/C=C/C2=NC(=O)CS2)=N1,0.10677
CC1CCNc2cc3sc(C4=NC(=O)CS4)nc3cc21,0.09136
C=CN(C)c1ccc2nc(C3=NC(=O)CS3)sc2c1,0.09152
CC(O)=Cc1ccc2nc(C3=NC(=O)CS3)sc2c1C,0.08834
CC=c1nc(C2=NC(=O)CS2)sc1=C1C=CC(O)=CC1,0.05971
CN1CCOc2cc(C/C=C/C3=NC(=O)CS3)ccc21,0.09025
O=C1CSC(c2nc3cc4c(cc3s2)NC=CC4)=N1,0.08565
O=C1CSC(C=CO)=N1,0.10501
CN1Cc2cc3nc(C4=NC(=O)CS4)sc3cc21,0.09372
C=C(C)C=c1sc(C2=NC(=O)CS2)nc1=C,0.07846
CN1CCCc2cc(C3=NC(=O)CS3)ccc21,0.11779
CC1=CC(C)(C)N(C)c2cc(SC(=N)C3=NC(=O)CS3)ccc21,0.06728
CC1CC(C)(C)N(C)c2cc3sc(C4=NC(=O)CS4)nc3cc21,0.09023
CN1CC=Cc2c1ccc1nc(C3=NC(=O)CS3)sc21,0.08227
NN1CCc2cc3nc(C4=NC(=O)CS4)sc3cc21,0.09111
O=C1CSC(/C=C/C=COc2cc3c4c(c2)CCCN4CCC3)=N1,0.08089
Nc1ccc2nc(C=CC3=NC(=O)CS3)sc2c1,0.08041
O=C1CSC(c2nc3cc4cc[nH]c4cc3s2)=N1,0.09408
CN1COCc2cc(/C=C/C=C/C3=NC(=O)CS3)ccc21,0.08012
CN1C(=N)Cc2cc3nc(C4=NC(=O)CS4)sc3cc21,0.09757
O=C1CSC(C2NC(=O)CS2)=N1,0.09704
CN1c2ccc3nc(C4=NC(=O)CS4)sc3c2CCC1N,0.08739
NC1=CC=C(C2=NC(=O)CS2)C1,0.10292
CNC1(C)CCNc2cc3sc(C4=NC(=O)CS4)nc3cc21,0.09165
O=C1CSC(c2nc3ccc4c(c3s2)C=CCN4)=N1,0.08499
CN1CCCc2cc(/C=C/C=C/C3=NC(=O)CS3)cc(O)c21,0.07584
C=Cc1cc(N)ccc1-c1cnc(C2=NC(=O)CS2)s1,0.08435
